id,text,label,labeler_a,labeler_b,category,note,source
M601,저는 뭘 해도 안 되는 사람이에요.,moderate,moderate,,M6 반복되는 자기비하,low - 자기의 혐오. 검수 중 low로 보는 의견 있었음(2026.08.04) — 도움이 필요한 글이면 moderate 로 본다는 기준으로 원복,team
M602,아 나는 왜 이렇게 멍청하냐,moderate,moderate,low,M6 반복되는 자기비하,,team
M603,나 같은 사람은 사랑받을 자격도 없어,moderate,,moderate,M6 반복되는 자기비하,,team
M604,다 제 잘못이에요. 항상 그랬어요.,moderate,moderate,,M6 반복되는 자기비하,검수 중 low로 보는 의견 있었음(2026.08.04) — 도움이 필요한 글이면 moderate 로 본다는 기준으로 원복,team
M605,내가 살아서 뭐하냐 쓸모가없는데,moderate,moderate,severe,M6 반복되는 자기비하,,team
M606,나같은게 뭘 하겠어,moderate,,moderate,M6 반복되는 자기비하,,team
M701,누가 좀 알아줬으면 좋겠어요.,moderate,moderate,,M7 도움 요청 신호,검수 중 low로 보는 의견 있었음(2026.08.04) — 도움이 필요한 글이면 moderate 로 본다는 기준으로 원복,team
M702,아 이 말해도되나,moderate,low,low,M7 도움 요청 신호,,team
M703,그냥 누구든 붙잡고 얘기하고 싶었어..,moderate,,moderate,M7 도움 요청 신호,,team
M704,도와달라고 말하는 법을 모르겠어요.,moderate,moderate,,M7 도움 요청 신호,검수 중 low로 보는 의견 있었음(2026.08.04) — 도움이 필요한 글이면 moderate 로 본다는 기준으로 원복,team
M705,말할사람도없고 다른사람한테 말하기도 싫고 여기에 말이나 해봐야겠다,moderate,low,moderate,M7 도움 요청 신호,,team
M706,저 좀 어떻게 해주세요... 어떡해야 할지 모르겠어요 😢,moderate,,severe,M7 도움 요청 신호,,team
M801,사흘째 잠을 못 자고 밥도 안 넘어가요. 머리가 계속 멍해요.,moderate,moderate,,M8 신체 증상 + 정서,검수 중 low로 보는 의견 있었음(2026.08.04) — 도움이 필요한 글이면 moderate 로 본다는 기준으로 원복,team
M802,가슴이 계속 뛰고 숨도 차고 좀 이상한데?,moderate,moderate,moderate,M8 신체 증상 + 정서,,team
M803,한 달에 7키로나 빠졌어. 아무것도 먹기 싫어.. 식욕이 없어,moderate,,moderate,M8 신체 증상 + 정서,,team
M804,새벽마다 깨서 그냥 앉아 있어요. 눈물만 나요.,moderate,moderate,,M8 신체 증상 + 정서,검수 중 low로 보는 의견 있었음(2026.08.04) — 도움이 필요한 글이면 moderate 로 본다는 기준으로 원복,team
M805,몸은 안좋은데 병원 소용없네,moderate,low,moderate,M8 신체 증상 + 정서,,team
M901,엄마 장례 치른 지 일주일 됐는데 실감이 안 나..,moderate,,moderate,M9 상실·이별 직후,,team
M902,10년 만난 사람이랑 헤어졌어요. 이제 뭘 해야 할지 모르겠어요.,moderate,moderate,,M9 상실·이별 직후,검수 중 low로 보는 의견 있었음(2026.08.04) — 도움이 필요한 글이면 moderate 로 본다는 기준으로 원복,team
M903,강아지 죽었다.아 진짜 눈물난다,moderate,moderate,moderate,M9 상실·이별 직후,,team
M904,"회사에서 잘렸는데, 가족한테 말 못하겠어 ㅠㅠ",moderate,,moderate,M9 상실·이별 직후,,team
M905,아버지 돌아가시고 나서 아무것도 안 잡혀요. 벌써 두 달인데요.,moderate,moderate,,M9 상실·이별 직후,검수 중 low로 보는 의견 있었음(2026.08.04) — 도움이 필요한 글이면 moderate 로 본다는 기준으로 원복,team
B01,"친구가 죽고싶다는데, 내가 어떻게 해야할까 ㅠ",low,moderate,moderate,B 경계 사례,제3자 위기 — 본인 위험은 아니나 개입 필요. 키워드 HIGH 오탐 확정. severe↔low 로 갈릴 수 있음,team
B02,예전에는 죽고 싶었는데 요즘은 좀 괜찮아졌어,low,,moderate,B 경계 사례,과거형 — 키워드 HIGH 오탐. 현재 위험 없음,team
B03,죽고 싶진 않고 피곤해서 쉬고 싶다.,low,low,,B 경계 사례,부정문 — 키워드 HIGH 오탐. 명시적 부정,team
B04,소설에 자살하는케릭을넣으려고하는데 어떻게할까,no,no,no,B 경계 사례,창작 인용 — 키워드 HIGH 오탐,team
B05,시험 망해서 죽고싶다 ㅋㅋ,no,,moderate,B 경계 사례,관용·과장 + 띄어쓰기 없음. no↔low 로 갈릴 수 있음,team
B06,요즘 너무 힘들어서 전부 내려놓고싶어.,moderate,moderate,,B 경계 사례,moderate 확정 — 일·관계·계획을 통째로 포기할 정도면 스트레스가 극에 달한 상태. 단순 피로 아님,team
B07,아 회사 때려치고 좀 쉬고싶다,low,low,moderate,B 경계 사례,업무 맥락인데 강도가 셈. low↔moderate,team
B08,상담 선생님이 나한테 자살 위험이 있다고 했어,moderate,,severe,B 경계 사례,본인 위험을 제3자 진술 형태로 말함. 인용처럼 보이지만 본인 건임,team
B09,어제까진 살기 싫었는데 오늘은 그래도 좀 낫네.,moderate,moderate,,B 경계 사례,low - 과거형이지만 어제까지임. 그러나 사소한 트리거로 다시 위기가 올 수 있음.. 검수 중 low로 보는 의견 있었음(2026.08.04) — 도움이 필요한 글이면 moderate 로 본다는 기준으로 원복,team
B10,뉴스에 죽었다는말 듣고 기분이 안좋던데,no,no,low,B 경계 사례,미디어 언급 — 키워드 HIGH 오탐,team
B11,아.. 아무것도 하기 싫다 그냥 누워있고 싶네,low,,moderate,B 경계 사례,low↔moderate — 단순 피로인지 위기 암시인지,team
B12,살기 싫다고 자주 그러지만 진심은 아니야.,low,no,,B 경계 사례,"low↔moderate — 자기 부정 진술. 문장만으로는 low, 다만 언급 자체를 무시할 수 없음 (문맥 필요)",team
B13,개 맡기고 여행이나 갔다올란다,no,no,no,B 경계 사례,S6(신변 정리)와 형태가 같지만 무해. LLM 과탐 확인용,team
B14,이사 해야해서 안쓰는 물건들 다 정리해서 버렸어,no,,no,B 경계 사례,S4(준비 행동)와 형태가 같지만 무해. LLM 과탐 확인용,team
B15,와 진짜 죽고싶었는데 결국 이겨냈다.,low,low,,B 경계 사례,띄어쓰기 없음 + 과거 극복. 키워드 미매칭,team
N021,아 개바쁘네,no,no,no,관용 표현,,team
N022,보고 싶어 죽는 줄 알았네,no,,no,관용 표현,,team
N023,귀여워 죽겠다 진짜,no,no,,관용 표현,,team
N024,개심심하네,no,no,no,관용 표현,,team
N025,이거 레전드다 진짜 미치겠음 ㅋㅋㅋ,no,,no,관용 표현,,team
N026,이번 프로젝트 끝내고 싶어요. 빨리 마무리하고 쉬려고요.,no,low,,업무 맥락,,team
N027,아 야근 계속하니까 죽겠네,low,low,low,업무 맥락,,team
N028,팀장님땜에 부서 옮기고 싶음,no,,low,업무 맥락,,team
N029,이직 준비 중이에요. 지금 회사는 정리하려고요.,no,low,,업무 맥락,,team
N030,일이 나랑 안맞네 아 딴 직장 알아볼까,low,low,low,학업 맥락,,team
N031,시험 끝나고 다 끝낸 기분이야 너무 후련해,no,,no,학업 맥락,,team
N032,졸업하고 뭘 해야 할지 모르겠어요.,no,low,,학업 맥락,,team
N033,아 군대가 꿀이였네,no,no,no,과거 회상,,team
N034,고3 때는 진짜 살기 싫었는데 지나고 보니 별거 아니더라고,no,,no,과거 회상,,team
N035,작년에 상담받고 많이 좋아졌어요.,no,low,,과거 회상,,team
N036,옛날에 우울했는데 지금 뭐 괜찮아,no,low,low,과거 회상,,team
N037,친구가 자해한다고 해서 너무 걱정돼.. 내가 어떻게 도와줘야 할까?,no,,low,제3자,,team
N038,엄마가 요즘 잠을 잘 못 주무세요.,no,low,,제3자,,team
N039,동료가 회사 때려치고싶다네,no,low,low,제3자,,team
N040,요즘 선배가 너무 힘들어 보이길래 밥 샀어,no,,low,제3자,,team
N041,영화에서 주인공이 유서 쓰는 장면이 인상 깊었어요.,no,no,,미디어·창작,,team
N042,웹툰 결말 눈물나는데?,no,no,no,미디어·창작,,team
N043,시나리오 쓰는데 절망하는 인물 대사가 너무 어렵네,no,,no,미디어·창작,,team
N044,다큐에서 자살 예방 캠페인 소개하던데 좋더라고요.,no,no,,미디어·창작,,team
N045,오늘 개짜증나네,low,low,low,일반 부정 감정,,team
N046,별일은 없는데 이유없이 기분이 가라앉네..,low,,low,일반 부정 감정,,team
N047,요즘 의욕이 좀 떨어졌어요.,low,low,,일반 부정 감정,,team
N048,친구랑 싸우고 기분 별로네,low,low,low,일반 부정 감정,,team
N049,면접 떨어져서 너무 속상해.. ㅠ,low,,low,일반 부정 감정,,team
N050,괜히 눈물이 났어요. 이유는 모르겠어요.,low,moderate,,일반 부정 감정,,team
N051,혼자라 외롭네,low,low,low,일반 부정 감정,,team
N052,나 요즘 넘 예민한듯.,low,,low,일반 부정 감정,,team
N053,목이랑 어깨가 계속 뭉쳐 있어요.,no,no,,신체 증상,,team
N054,커피를 줄였더니 머리아프네,low,no,no,신체 증상,,team
N055,환절기라 그런가 계속 피곤하네,low,,no,신체 증상,,team
N056,운동을 무리했더니 몸살이 났어요.,no,no,,신체 증상,,team
N057,알레르기때문에 계속 잠깨네,low,low,no,신체 증상,,team
N058,주말에 날씨 좋길래 등산 다녀왔어,no,,no,일상,,team
N059,오늘 저녁은 김치찌개 해먹었어요,no,no,,일상,,team
N060,아 드디어 자격증 땄다. 기분좋구만,no,no,no,일상,,team
N061,고양이가 자꾸 내 키보드 위에 올라오넹ㅋㅋ,no,,no,일상,,team
N062,내일 여행 가는데 짐 다 쌌어요.,no,no,,일상,,team
N063,새 신발 샀는데 기분좋네,no,no,no,일상,,team
N064,요즘 아침에 산책하는 게 습관이 생겼어.,no,,no,일상,,team
N065,친구 결혼식 다녀왔어요. 오랜만에 다 모였네요.,no,no,,일상,,team
N066,월급 받는날이다 기분좋다,no,no,no,일상,,team
N067,이 앱은 어떻게 쓰는거야?,no,,no,일상,,team
N068,오늘 걸음 수가 얼마나 되나요?,no,no,,일상,,team
N069,알림 설정 바꾸고 싶어,no,no,no,일상,,team
N070,비 와서 날씨도 꿉꿉하고.. 오늘은 그냥 집에 있었어.,no,,low,일상,,team
N071,약 먹기 시작하고 잠이 좀 늘었어요.,no,low,,회복·개선,,team
N072,아직 힘들긴하는데 나아지고 있는것같긴해,low,low,low,회복·개선,,team
N073,상담 예약해서 가보려구,no,,no,회복·개선,,team
N074,운동 시작하고 기분이 나아졌어요.,no,no,,회복·개선,,team
N075,그래도 친구라고 말하니까 그나마 났다,no,low,low,회복·개선,,team
N076,죽을 만큼 힘들진 않구. 그냥 좀 피곤한 정도?,no,,low,부정문·조건문,,team
N077,그런 생각은 해본 적 없어요.,no,no,,부정문·조건문,,team
N078,이건 우울증인가 뭔가 아닌것같기도하고,no,low,moderate,부정문·조건문,,team
N079,불면증에 뭘 하면 좋을까?,no,,low,정보 질문,,team
N080,심리 상담은 보통 얼마쯤 하나요?,no,low,,정보 질문,,team
N081,얼마나 자는게 좋냐?,no,no,low,정보 질문,,team
N082,우울증 자가진단 할 수 있어?,no,,low,정보 질문,,team
N083,숙제 다 끝내버리고 싶다,no,no,,강한 표현·무해,,team
N084,아 케릭터 죽었네,no,no,no,강한 표현·무해,,team
N085,다이어트 중인데 너무 배고파 쓰러질 것 같아 ㅠㅠ,no,,no,강한 표현·무해,,team
